No.,Place  of measurement,Place  of measurement,Type of place,Type of place,Description,75-87,"87-109
FM","109-300 VHF-TV, CB, AirCom",300 - 450 TETRA,"450-860
UHF-TV, LTE-800","860-1000
GSM-900","1000 - 1700 Navigation, GPS, DAB","1700-2200 GSM-1800, UMTS","2200-3000 WiFi, LTE-2600","75-3000
TOTAL",Location,"Coordinates (Latitude,Longtitude)"
146,AP,Street,O,R,,0.02477,0.0311,0.05676,0.0341,0.0422,0.28114,0.05491,0.26796,0.13597,0.424,A02.14.11.2013 - COSMOTE_ΚΡΑΝΕΑ_ΕΛΑΣΣΟΝΑΣ,
147,AP,Street,O,R,,0.02535,0.03262,0.05661,0.03418,0.04249,0.44049,0.05501,0.66093,0.13456,0.812,,
148,AP,Street,O,R,,0.02463,0.03666,0.05684,0.03436,0.04896,0.25635,0.05542,0.33806,0.13521,0.458,,
149,AP,Street,O,R,,0.02535,0.04805,0.05703,0.03407,0.04657,0.1406,0.05499,0.38619,0.13454,0.447,,
150,AP,Street,O,R,,0.02522,0.03513,0.05649,0.03434,0.0494,0.48302,0.05494,0.59198,0.13501,0.783,,
151,AP,Street,O,R,,0.02469,0.03448,0.05627,0.03373,0.04216,0.23138,0.05464,0.15594,0.13378,0.327,,
152,AP,Street,O,R,,0.02483,0.03742,0.05648,0.03384,0.04268,0.04253,0.05472,0.13087,0.13429,0.219,,
153,AP,Street,O,R,,0.02543,0.03219,0.05689,0.03384,0.04906,0.06254,0.05486,0.08776,0.13442,0.203,,
154,AP,Street,O,R,,0.02568,0.02924,0.05659,0.03396,0.04207,0.05851,0.05484,0.07263,0.13428,0.193,,
155,AP,Street,O,R,,0.02527,0.02937,0.05661,0.03375,0.04162,0.03708,0.0547,0.07769,0.13407,0.19,,
156,AP,Street,O,R,,0.02512,0.02969,0.0566,0.03396,0.04189,0.08135,0.05484,0.13533,0.13436,0.232,,
157,Oikeia,Street,O,U,,0.04177,0.06533,0.09471,0.05682,0.08236,0.15219,0.09172,3.15973,0.22353,3.177,A01.27.02.2014 - COSMOTE_ΠΑΤΗΣΙΩΝ_219,
158,Oikeia,,I,U,,0.02551,0.03385,0.0574,0.03466,0.04376,0.03446,0.05536,0.92289,0.13685,0.94,,
159,Oikeia,Street,O,U,,0.12912,0.15958,0.29178,0.17431,0.21929,0.20597,0.2834,13.68886,0.70271,13.719,,
160,Oikeia,Street,O,U,,0.09005,0.11388,0.20174,0.13257,0.1536,0.15269,0.19547,8.84565,0.48749,8.868,,
161,Oikeia,Street,O,U,,0.07716,0.10346,0.17228,0.10432,0.13058,0.1267,0.16608,7.66677,0.41426,7.686,,
162,PK-G,Grafeio,I,U,1F,0.02531,0.05211,0.0575,0.03456,0.04378,0.57579,0.05563,1.92435,0.20328,2.022,A05.16.07.2014 - COSMOTE_ERMOU KAI FOKIONOS,
163,PK-G,Grafeio,I,U,1F,0.02598,0.04617,0.05771,0.03455,0.04389,0.79135,0.05546,0.47447,0.14705,0.941,,
164,PK-G,Ergastirio,I,U,1F,0.02678,0.06463,0.05734,0.03474,0.04376,0.39572,0.05538,0.32556,0.16272,0.551,,
165,PK-G,Ekthesi,I,U,1F,0.02606,0.03388,0.05761,0.03485,0.0426,0.34474,0.05566,0.37164,0.14241,0.537,,
166,PK,RT,O,U,,0.08328,0.2116,0.18215,0.15729,0.15822,8.57594,0.16985,9.44407,0.3979,12.769,A07.26.09.2014-COSMOTE_RAFINA,
167,PK,RT,O,U,,0.08384,0.13256,0.18145,0.18327,0.13944,4.7377,0.16968,1.5393,0.39634,5.011,,
168,PK,apenanti ktirio,i,U,2F,0.03252,0.05368,0.07296,0.05165,0.07246,2.79899,0.06793,0.94236,0.15692,2.961,,
169,PK,Sxoleio,O,U,,0.03219,0.04998,0.07276,0.20941,0.05472,0.05038,0.06775,0.09763,0.15754,0.312,,
170,PK,Sxoleio,O,U,,0.03224,0.08411,0.07294,0.04405,0.06144,0.04686,0.06797,0.0854,0.15811,0.241,,
171,Oikeia,B,I,U,3F,0.02665,0.08297,0.05847,0.13893,0.0608,0.56012,0.05541,0.73798,0.13627,0.956,A10.07.12.2014 - COSMOTE_kypseli,
172,Oikeia,B,I,U,3F,0.0263,0.08296,0.05885,0.29442,0.06962,0.63766,0.05514,1.15968,0.13549,1.369,,
173,Oikeia,B,I,U,3F,0.02619,0.09378,0.05779,0.17098,0.06309,0.72878,0.05534,2.32583,0.136,2.451,,
174,Oikeia,Room,I,U,3F,0.02563,0.03775,0.05768,0.05001,0.04484,0.08378,0.0554,0.24993,0.13667,0.318,,
175,Oikeia,B,I,U,3F,0.02564,0.05273,0.05717,0.10545,0.04582,0.11416,0.05502,0.27292,0.13578,0.359,,
176,Oikeia,B,I,U,3F,0.02544,0.05954,0.05754,0.07792,0.04605,0.10769,0.05507,0.21592,0.13499,0.308,,
177,,Street,O,U,,0.02596,0.03821,0.05753,0.0377,0.04261,0.34529,0.05567,0.27856,0.13643,0.477,,
178,,Basket,O,U,,0.02575,0.04352,0.05746,0.03714,0.04383,0.04532,0.05549,0.12787,0.13589,0.222,,
179,,Sxoleio,O,U,,0.02792,0.10317,0.05804,0.03605,0.0488,0.02633,0.05538,0.07378,0.1359,0.215,,
180,,Sxoleio,O,U,,0.02598,0.04004,0.05748,0.035,0.04274,0.08569,0.05535,0.1088,0.13618,0.222,,
181,AP,Street,O,R,,0.02513,0.03196,0.05666,0.03417,0.38309,0.38178,0.05494,0.40883,0.14802,0.7,A02.05.03.2014 - COSMOTE_ΑΡΜΠΟΥΝΑΣ,
182,AP,Street,O,R,,0.02481,0.03094,0.05645,0.03375,0.28843,0.0743,0.05468,1.08055,0.16002,1.136,,
183,AP,Street,O,R,,0.02487,0.03142,0.05631,0.03392,0.14703,0.07955,0.05462,0.51706,0.1487,0.571,,
184,AP,Street,O,R,,0.02465,0.03139,0.05608,0.03379,0.17514,0.06978,0.0546,0.90471,0.15367,0.942,,
185,,Street,O,U,,0.03293,0.041,0.07308,0.04439,0.05358,0.64483,0.06792,0.56235,0.15709,0.88,A06.23.09.2014-COSMOTE_ARGIROUPOLIS,
186,,Street,O,U,,0.03226,0.04023,0.07395,0.04392,0.05372,0.27269,0.06799,0.30217,0.15723,0.456,,
187,,Street,O,U,,0.03323,0.03906,0.07342,0.0442,0.05376,0.21263,0.06823,0.51221,0.15686,0.591,,
188,,Street,O,U,,0.03283,0.03989,0.07325,0.04432,0.05376,0.29444,0.06801,0.30172,0.15679,0.469,,
189,,Street,O,U,,0.04038,0.07323,0.0474,0.05377,0.243,0.06822,0.51397,0.1572,0.15679,0.624,,
190,,Street,O,U,,0.03293,0.03968,0.07329,0.04395,0.05363,0.21533,0.06835,0.42079,0.15693,0.515,,
191,,Street,O,U,,0.03226,0.03981,0.07292,0.04445,0.05463,0.24709,0.06847,0.43732,0.15767,0.543,,
192,,Street,O,U,,0.0332,0.04009,0.07432,0.04402,0.05434,0.28297,0.06855,0.29065,0.15706,0.455,,
193,,Street,O,U,,0.0338,0.04063,0.07412,0.04421,0.05444,0.57701,0.06868,0.32839,0.15731,0.695,,
194,,Street,O,U,,0.0334,0.04236,0.07389,0.04428,0.05467,0.23067,0.06871,0.22927,0.15849,0.386,,
195,,Street,O,U,,0.03144,0.03926,0.07287,0.04411,0.05399,0.18723,0.06847,0.46644,0.15901,0.543,,
196,,Street,O,U,,0.03358,0.03977,0.07326,0.04562,0.05449,0.05619,0.0689,0.09483,0.15868,0.235,,
197,,Street,O,U,,0.03287,0.03942,0.07418,0.04451,0.05431,0.03494,0.06869,0.14259,0.15799,0.254,,
198,,Street,O,U,,0.03295,0.03881,0.07342,0.04489,0.05405,0.0301,0.0687,0.08736,0.15809,0.226,,
199,,Street,O,U,,0.03319,0.04056,0.07365,0.04457,0.05431,0.11549,0.06889,0.44768,0.15868,0.507,,
200,,Street,O,U,,0.03192,0.04021,0.07381,0.04538,0.05435,0.03824,0.06915,0.08943,0.15865,0.229,,
201,,Street,O,U,,0.03232,0.04265,0.07437,0.04473,0.05512,0.03135,0.06916,0.08428,0.1586,0.227,,
202,,Street,O,U,,0.03323,0.0404,0.07423,0.0447,0.05466,0.03021,0.06915,0.08223,0.15878,0.226,,
203,,Street,O,U,,0.02576,0.22099,0.05716,0.03459,0.05323,0.08279,0.05486,0.15481,0.13364,0.329,A08.09.10.2014-COSMOTEMelissia,
204,,Street,O,U,,0.02821,0.35486,0.05759,0.0345,0.06149,0.48965,0.05524,1.18535,0.13466,1.342,,
205,,Street,O,U,,0.02497,0.05704,0.05727,0.03489,0.04378,0.04577,0.05537,0.0704,0.13563,0.197,,
206,,Street,O,U,,0.02564,0.13269,0.05729,0.03496,0.04709,0.15592,0.05531,0.16738,0.13547,0.314,,
207,,Street,O,U,,0.02569,0.11225,0.05725,0.03499,0.05523,0.13583,0.05544,0.18466,0.13549,0.308,,
208,,Street,O,U,,0.02642,0.26453,0.05752,0.03682,0.06076,0.02408,0.05619,0.07891,0.13561,0.328,,
209,,Street,O,U,,0.02848,0.28913,0.05768,0.03524,0.06607,0.03362,0.05565,0.06952,0.13546,0.347,,
210,,Street,O,U,,0.02637,0.13356,0.05743,0.0347,0.05007,0.03234,0.05524,0.06965,0.13504,0.23,,
211,,Street,O,U,,0.02585,0.13016,0.05748,0.03514,0.04831,0.02454,0.05524,0.07048,0.13536,0.227,,
212,,Street,O,U,,0.02863,0.23044,0.05779,0.03665,0.07279,0.11611,0.05551,0.11899,0.13553,0.336,,
213,,Street,O,U,,0.02516,0.10235,0.05971,0.03508,0.05263,0.86483,0.0549,1.18244,0.13433,1.478,A09.04.11.2014-COSMOTEAg. Anargyroi,
214,,Street,O,U,,0.02537,0.10767,0.05801,0.03717,0.04543,0.52164,0.05482,1.28646,0.13445,1.403,,
215,,Street,O,U,,0.02682,0.11733,0.05737,0.03449,0.04578,0.36065,0.05511,0.5448,0.13561,0.685,,
216,,Street,O,U,,0.02694,0.10957,0.05755,0.03471,0.05036,0.37004,0.05506,0.12078,0.14082,0.441,,
217,,Street,O,U,,0.02527,0.09354,0.05784,0.03478,0.04621,0.02714,0.05538,0.08984,0.13549,0.215,,
218,,Street,O,U,,0.02695,0.12621,0.05848,0.03501,0.04813,0.02632,0.05541,0.12375,0.13606,0.247,,
219,,Street,O,U,,0.02777,0.14694,0.05749,0.03446,0.04514,0.02713,0.05527,0.10887,0.13499,0.251,,
220,,Street,O,U,,0.03149,0.22044,0.0574,0.03485,0.04747,0.02682,0.05541,0.0936,0.13613,0.296,,
221,,Street,O,U,,0.02753,0.16278,0.05726,0.03462,0.05673,0.03523,0.05519,0.07705,0.13588,0.252,,
222,,Street,O,U,,0.03031,0.15604,0.05769,0.03514,0.05995,0.02506,0.05523,0.0683,0.13564,0.245,,
223,,Street,O,U,,0.02744,0.15252,0.05808,0.03488,0.04813,0.07987,0.05539,0.10428,0.13571,0.264,,
224,,Street,O,U,,0.02911,0.20218,0.05806,0.0356,0.04816,0.21998,0.05536,0.40302,0.13734,0.53,,
225,,Street,O,U,,0.0308,0.20195,0.05816,0.03544,0.06478,0.16966,0.05536,0.41148,0.13544,0.52,,
226,,Street,O,U,,0.03086,0.31365,0.05782,0.03571,0.07858,0.08694,0.0556,0.22806,0.13536,0.437,,
227,AP,Street,O,R,,0.02704,0.05085,0.06422,0.04647,0.18232,0.80067,0.07944,0.81146,0.23223,1.184,A11.16.12.2014 COSMOTE  KERATEA,
228,AP,Street,O,R,,0.02697,0.04261,0.06354,0.04694,0.09427,0.64396,0.07905,0.99733,0.23062,1.219,,
229,AP,Street,O,R,,0.02705,0.03736,0.06367,0.04073,0.09114,0.64846,0.07933,0.47067,0.23154,0.847,,
230,AP,Street,O,R,,0.0316,0.0406,0.07096,0.04173,0.18314,1.0935,0.06391,0.72078,0.15415,1.336,,
231,PK,RT,O,U,,0.1003,0.34013,0.22006,0.13204,0.17172,2.60108,0.21393,12.98569,0.53321,13.264,A01.26.02.2015 COSMOTE NEA SMIRNI,
232,PK,Room,I,U,4F,0.02747,0.25793,0.05745,0.03453,0.05199,0.42632,0.05546,0.76659,0.14004,0.931,,
233,PK,B,I,U,4F,0.14469,2.01036,0.05828,0.03863,0.13835,0.30616,0.05776,0.49568,0.13599,2.109,,
234,PK,Room,I,U,4F,0.03392,0.31524,0.05753,0.03496,0.14402,0.62808,0.05667,0.81409,0.13588,1.098,,
235,PK,Room,I,U,4F,0.0358,0.51915,0.05773,0.03501,0.12476,0.22565,0.05606,0.3719,0.14805,0.711,,
236,PK,Grafeio,I,U,4F,0.06352,0.5267,0.05763,0.03515,0.14297,0.45406,0.05647,1.11107,0.13576,1.33,,
237,PK,Grafeio,I,U,1F,0.02997,0.19478,0.05767,0.03498,0.15089,0.10393,0.05615,0.15483,0.13722,0.351,,
238,PK,B,I,U,1F,0.06297,0.86781,0.05702,0.03573,0.15136,0.13617,0.05615,0.25238,0.13452,0.942,,
239,PK,RT,O,SU,,0.06458,0.32973,0.15316,0.09907,0.17509,0.19887,0.19233,8.59732,0.56821,8.631,A02.11.03.2015 - COSMOTE PATRA DEMENIKA,
240,PK,Room,I,SU,3F,0.02781,0.04972,0.06444,0.04079,0.05555,0.04143,0.07981,1.17126,0.2364,1.203,,
241,PK,Room,I,SU,4F,0.02714,0.04744,0.06374,0.04064,0.05688,0.03882,0.07938,0.83501,0.23313,0.878,,
242,PK,Room,I,SU,5F,0.02718,0.04947,0.06379,0.04077,0.05905,0.03559,0.07951,0.51527,0.23345,0.583,,
243,PK,Street,O,SU,,0.02721,0.04451,0.06328,0.04047,0.057,0.03091,0.07933,0.44492,0.23208,0.52,,
244,PK,Street,O,SU,,0.02734,0.07162,0.06389,0.04064,0.05437,0.03043,0.07949,0.74244,0.23303,0.792,,
245,PK,Street,O,SU,,0.02712,0.04711,0.06402,0.04072,0.05461,0.03045,0.07963,0.46275,0.23257,0.536,,
246,PK,Room,I,SU,2F,0.02793,0.04613,0.06399,0.04104,0.05439,0.03008,0.07987,0.47802,0.24378,0.554,,
247,PK,B,I,SU,2F,0.03544,0.17609,0.06423,0.03878,0.07188,2.31832,0.062,1.966,0.15458,3.051,A08.23.07.2015 - COSMOTE PATRA SB BETSOU,"38.24825073641069, 21.731074176061398"
248,PK,Room,I,SU,2F,0.03072,0.12397,0.06415,0.03834,0.06073,1.74692,0.0617,1.14664,0.15333,2.102,A08.23.07.2015 - COSMOTE PATRA SB BETSOU,"38.24825073641069, 21.731074176061398"
249,PK,Room,I,SU,2F,0.02888,0.16607,0.06432,0.03841,0.06548,0.86487,0.06185,0.51397,0.15439,1.038,A08.23.07.2015 - COSMOTE PATRA SB BETSOU,"38.24825073641069, 21.731074176061398"
250,PK,B,I,SU,2F,0.0353,0.17094,0.06431,0.0384,0.07039,0.77006,0.06182,0.59574,0.15314,1.008,A08.23.07.2015 - COSMOTE PATRA SB BETSOU,"38.24825073641069, 21.731074176061398"
251,School,RT,O,U,,0.04106,0.43474,0.05904,0.07099,0.77549,0.51267,0.05873,1.13989,0.16962,1.548,A12.24.11.2015 - COSMOTE GERMANIKI SXOLI,
252,School,Room,I,U,2F,0.02515,0.07873,0.05614,0.03336,0.3175,0.08684,0.0522,0.45273,0.16564,0.595,,
253,School,Room,I,U,2F,0.02794,0.10875,0.05615,0.0371,0.29439,0.16576,0.05205,0.44736,0.13436,0.593,,
254,School,Street,O,U,,0.03235,0.21332,0.05592,0.04994,0.61062,0.16374,0.05209,0.53805,0.13379,0.873,,
255,School,RT,O,U,,0.04827,0.42871,0.05914,0.04239,0.52583,0.54944,0.0523,1.36757,0.13598,1.631,,
256,School,Street,O,U,,0.02646,0.13836,0.0564,0.06521,0.16705,0.28329,0.05223,0.41308,0.13652,0.572,,
257,School,Street,O,U,,0.0325,0.23971,0.05611,0.05382,0.65564,0.42648,0.05219,0.76932,0.13458,1.135,,
258,PK,Street,O,U,,0.02468,0.03565,0.05558,0.03249,0.04253,0.19281,0.05192,0.75593,0.13262,0.798,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
259,PK,Street,O,U,,0.02389,0.03174,0.05521,0.03208,0.04217,0.22529,0.05171,0.7749,0.13208,0.824,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
260,PK,Street,O,U,,0.02539,0.03786,0.05567,0.03209,0.04296,0.02772,0.05191,0.12805,0.13287,0.213,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
261,PK,B,I,U,2F,0.03852,0.06519,0.08746,0.05033,0.06738,0.10585,0.08235,3.3752,0.20923,3.387,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
262,PK,Room,I,U,2F,0.02639,0.05245,0.05572,0.03463,0.0438,0.04333,0.05176,1.0335,0.13348,1.049,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
263,PK,B,I,U,2F,0.02608,0.08033,0.0557,0.03257,0.04496,0.09426,0.05175,0.44234,0.1334,0.488,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
264,PK,Street,O,U,,0.02456,0.04453,0.0557,0.03465,0.04329,0.11829,0.05225,0.32839,0.13221,0.388,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
265,PK,Street,O,U,,0.02388,0.0451,0.05661,0.03272,0.05118,0.08666,0.05258,0.19874,0.13262,0.277,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
266,PK,Street,O,U,,0.02527,0.0406,0.05548,0.03214,0.04297,0.55292,0.05206,1.0476,0.1338,1.197,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
267,PK,Street,O,U,,0.02633,0.03449,0.05632,0.03257,0.04325,0.05692,0.05169,0.15391,0.13349,0.235,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
268,PK,B,I,U,3F,0.07544,0.09708,0.16901,0.0991,0.13197,0.53095,0.15848,6.9731,0.41345,7.012,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
269,PK,Street,O,U,,0.06076,0.0777,0.138,0.07979,0.10394,0.06409,0.12917,0.18132,0.3364,0.461,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
270,PK-G,B,I,U,2F,0.03897,0.17838,0.09008,0.06796,0.13657,0.17614,0.08272,4.0288,0.22423,4.048,A14.18.12.2015 - COSMOTE VOUKOURESTI,
271,PK-G,Grafeio,I,U,2F,0.02503,0.08936,0.05675,0.03572,0.06494,0.09992,0.05189,1.9688,0.13915,1.981,,
272,PK-G,Grafeio,I,U,2F,0.0245,0.10077,0.057,0.03943,0.12852,0.0936,0.05233,1.7977,0.16186,1.817,,
273,PK-G,Grafeio,I,U,2F,0.025,0.08675,0.0558,0.03337,0.04693,0.03085,0.05204,0.55756,0.1536,0.594,,
274,PK-G,Grafeio,I,U,2F,0.025,0.10595,0.05589,0.03378,0.05255,0.04683,0.05206,0.74896,0.13344,0.776,,
275,PK,B,I,U,2F,0.02418,0.13464,0.05482,0.03468,0.04975,0.09677,0.05179,0.84502,0.13088,0.877,A15.18.12.2015 - COSMOTE SERFIOTOU,
276,PK,Room,I,U,2F,0.02468,0.05747,0.05488,0.03202,0.04332,0.04325,0.05165,0.18617,0.1321,0.258,,
277,PK,Room,I,U,2F,0.02481,0.05801,0.05469,0.03211,0.04246,0.02434,0.05149,0.09574,0.13478,0.201,,
278,Stadium,Room,I,U,1F,0.02417,0.08112,0.05422,0.03178,0.04687,0.03788,0.05102,0.24482,0.13632,0.31,A16.21.12.2015 - COSMOTE PATRA(ApolonPatra),
279,Stadium,Room,I,U,2F,0.02462,0.07475,0.05469,0.03187,0.04677,0.02744,0.05139,0.06458,0.13248,0.194,,
280,Stadium,Room,I,U,3F,0.02452,0.09225,0.05463,0.03237,0.05102,0.02569,0.05135,0.06381,0.13099,0.201,,
281,Stadium,Room,I,U,4F,0.02446,0.05447,0.05503,0.03224,0.04545,0.02578,0.05155,0.09619,0.13194,0.199,,
282,Stadium,Room,I,U,5F,0.0246,0.06593,0.05485,0.03222,0.05854,0.03438,0.05159,0.07104,0.13415,0.198,,
283,Stadium,Room,I,U,6F,0.02427,0.06399,0.05526,0.03212,0.07517,0.04857,0.05152,0.07572,0.13181,0.206,,
284,,Street,O,U,,0.02754,0.09817,0.06479,0.04154,0.06715,0.37929,0.0815,1.02321,0.23547,1.129,A03.18.05.2015 - COSMOTE KIFISIA,"38.074185565464425, 23.814334330200708"
285,,Street,O,U,,0.02753,0.09933,0.06512,0.04271,0.09267,0.14156,0.08047,0.43536,0.23503,0.545,A03.18.05.2015 - COSMOTE KIFISIA,"38.074185565464425, 23.814334330200708"
286,,Street,O,U,,0.02808,0.10118,0.06462,0.04154,0.06427,0.10724,0.08055,0.53555,0.23439,0.617,A03.18.05.2015 - COSMOTE KIFISIA,"38.074185565464425, 23.814334330200708"
287,,Street,O,U,,0.02771,0.08242,0.06466,0.04166,0.0547,0.29552,0.08018,0.33809,0.23555,0.529,A03.18.05.2015 - COSMOTE KIFISIA,"38.074185565464425, 23.814334330200708"
288,,Street,O,U,,0.05263,0.82484,0.06381,0.06099,0.06514,0.28252,0.08,0.34739,0.23051,0.977,A04.19.06.2015 - COSMOTE Cholargos,
289,,Street,O,U,,0.03165,0.37104,0.06367,0.04097,0.06117,0.19489,0.07908,0.17541,0.23025,0.526,,
290,,Street,O,U,,0.04064,0.47418,0.06401,0.0529,0.05881,0.73322,0.07969,0.88819,0.23152,1.274,,
291,,Street,O,U,,0.04796,0.61674,0.06431,0.04536,0.0618,0.03754,0.07962,0.11705,0.23305,0.684,,
292,,Street,O,U,,0.03281,0.37483,0.0636,0.05219,0.06394,0.08068,0.07988,0.14829,0.23371,0.492,,
293,,Street,O,U,,0.04811,0.57628,0.06407,0.04932,0.06967,0.29355,0.07989,0.57401,0.23295,0.907,,
294,,Street,O,R,,0.03428,0.04218,0.08045,0.04921,0.06833,0.03511,0.0928,0.1675,0.27102,0.358,A05.22.06.2015 - COSMOTE OTHONOI,"39.841280131581065, 19.407548959660712"
295,,Street,O,R,,0.03454,0.04168,0.08055,0.04955,0.06898,0.04464,0.09332,0.42396,0.27196,0.53,A05.22.06.2015 - COSMOTE OTHONOI,"39.841280131581065, 19.407548959660712"
296,,Street,O,R,,0.03475,0.04166,0.08059,0.04971,0.06882,0.03527,0.09329,0.1209,0.27195,0.339,A05.22.06.2015 - COSMOTE OTHONOI,"39.841280131581065, 19.407548959660712"
297,,Street,O,R,,0.03524,0.04164,0.08103,0.04992,0.0689,0.03549,0.09366,0.1228,0.27264,0.341,A05.22.06.2015 - COSMOTE OTHONOI,"39.841280131581065, 19.407548959660712"
298,,Street,O,R,,0.03492,0.04188,0.08311,0.04956,0.06876,0.05643,0.09286,0.15007,0.27118,0.353,A06.24.06.2015 - COSMOTE PAXOI,"39.197375131207885, 20.185988952999427"
299,,Street,O,R,,0.03463,0.04203,0.08067,0.0497,0.06879,0.0539,0.0932,0.25318,0.27229,0.408,A06.24.06.2015 - COSMOTE PAXOI,"39.197375131207885, 20.185988952999427"
300,,Street,O,R,,0.03555,0.04187,0.08136,0.04969,0.06922,0.04511,0.09387,0.13561,0.27422,0.348,A06.24.06.2015 - COSMOTE PAXOI,"39.197375131207885, 20.185988952999427"
301,,Street,O,R,,0.0344,0.04147,0.08057,0.04962,0.06943,0.04111,0.09344,0.12338,0.2732,0.342,A06.24.06.2015 - COSMOTE PAXOI,"39.197375131207885, 20.185988952999427"
302,,Street,O,R,,0.03501,0.04165,0.08087,0.04971,0.06943,0.03646,0.09372,0.12085,0.27345,0.341,A06.24.06.2015 - COSMOTE PAXOI,"39.197375131207885, 20.185988952999427"
303,,Street,O,R,,0.03602,0.24671,0.08106,0.05015,0.08199,0.0473,0.09276,0.12106,0.27137,0.421,A07.26.06.2015 - COSMOTE KERKYRA,"39.62129663207323, 19.92115635205514"
304,,Street,O,R,,0.03528,0.15406,0.08062,0.04971,0.07091,0.04223,0.09328,0.12348,0.2713,0.372,A07.26.06.2015 - COSMOTE KERKYRA,"39.62129663207323, 19.92115635205514"
305,,Street,O,R,,0.03509,0.10835,0.08077,0.04973,0.06982,0.06483,0.09308,0.13104,0.28176,0.369,A07.26.06.2015 - COSMOTE KERKYRA,"39.62129663207323, 19.92115635205514"
306,,Street,O,R,,0.03512,0.24921,0.08166,0.05282,0.1048,0.04805,0.0927,0.1281,0.27061,0.429,A07.26.06.2015 - COSMOTE KERKYRA,"39.62129663207323, 19.92115635205514"
307,AP,Street,O,R,,0.02489,0.03032,0.05765,0.03407,0.04568,0.57848,0.05789,0.25039,0.16563,0.66,A09.18.11.2015 - COSMOTE MESOXORA,
308,AP,Street,O,R,,0.02545,0.03029,0.05792,0.03428,0.046,0.51688,0.05839,0.53288,0.16592,0.768,,
309,AP,Street,O,R,,0.02537,0.03072,0.05851,0.03454,0.04618,0.55686,0.05861,0.44,0.18776,0.742,,
310,AP,Street,O,R,,0.02539,0.03063,0.05787,0.03436,0.04554,0.31345,0.0583,0.55505,0.17349,0.669,,
311,AP,Street,O,R,,0.02598,0.03013,0.05784,0.03425,0.04581,0.71634,0.05823,0.44443,0.33914,0.915,,
312,AP,Street,O,R,,0.02531,0.02999,0.05753,0.0342,0.04578,0.80705,0.05825,0.476,0.243,0.974,,
313,AP,Street,O,R,,0.026,0.0297,0.05768,0.0339,0.04583,0.54166,0.05835,0.97331,0.18841,1.135,,
314,AP,Street,O,R,,0.02445,0.02975,0.05673,0.03323,0.07728,0.67537,0.05738,1.1849,0.15671,1.378,A10.19.11.2015 - COSMOTE ASPROPYRGOS,
315,AP,Street,O,R,,0.02559,0.03002,0.0568,0.03381,0.05752,1.2999,0.05773,0.78745,0.15792,1.532,,
316,AP,Street,O,R,,0.0252,0.03035,0.05734,0.03368,0.04733,0.91473,0.05826,0.62115,0.158,1.122,,
317,AP,Street,O,R,,0.02534,0.03044,0.05773,0.03418,0.04852,0.74982,0.05841,0.62588,0.1589,0.996,,
318,AP,Street,O,R,,0.02521,0.0299,0.05756,0.03423,0.06266,0.88011,0.05847,1.263,0.15878,1.552,,
319,AP,Street,O,R,,0.0258,0.03007,0.05782,0.0344,0.0701,0.66319,0.05866,0.43555,0.16628,0.82,,
320,AP,Street,O,R,,0.02578,0.04189,0.05787,0.0342,0.08211,0.17042,0.05854,0.37752,0.15954,0.463,A11.19.11.2015 - COSMOTE OMALI,
321,AP,Street,O,R,,0.02623,0.04342,0.05795,0.03359,0.7652,0.13279,0.05841,0.35279,0.21217,0.885,,
322,AP,Street,O,R,,0.02605,0.03227,0.05768,0.0342,0.19337,0.12388,0.05891,0.22369,0.17204,0.377,,
323,AP,Street,O,R,,0.02677,0.03456,0.05819,0.03385,0.14403,0.18595,0.05882,0.23869,0.16041,0.385,,
324,AP,Street,O,R,,0.02651,0.03909,0.05873,0.03395,0.22751,0.40265,0.05931,0.33812,0.1612,0.604,,
325,AP,Street,O,R,,0.02546,0.03626,0.05843,0.03447,0.27763,0.23609,0.05838,0.336,0.1599,0.53,,
326,AP,Street,O,R,,0.02631,0.03427,0.05805,0.03439,0.27984,0.37097,0.0581,0.18578,0.15881,0.534,,
327,PK,B,I,U,2F,0.02734,0.03994,0.0616,0.03802,0.04722,0.10451,0.05751,2.6638,0.1512,2.673,A01.18.01.2016 COSMOTE IPOKRATOUS,
328,PK,Room,I,U,2F,0.02451,0.03031,0.05547,0.03309,0.04351,0.03409,0.05176,0.70812,0.1405,0.73,,
329,PK,Room,I,U,2F,0.02493,0.03028,0.05571,0.03547,0.04241,0.0354,0.05191,0.85421,0.18728,0.881,,
